,0,1,2
0,SK Raina,10.049905249499147,Batsman
1,V Kohli,10.195883656007393,Batsman
2,RG Sharma,9.797174676563085,Batsman
3,G Gambhir,9.840736853912757,Batsman
4,DA Warner,10.842880825618684,Batsman
5,RV Uthappa,9.689214389214388,Batsman
6,CH Gayle,11.170035281727223,Batsman
7,S Dhawan,9.800227281397554,Batsman
8,MS Dhoni,9.539908847371533,Batsman
9,AB de Villiers,10.261796117798884,Batsman
10,AM Rahane,9.85992647088727,Batsman
11,YK Pathan,12.35565585166717,AllRounder
12,KD Karthik,9.107360092194394,Batsman
13,BB McCullum,9.736346261994958,Batsman
14,V Sehwag,10.006583015093653,Batsman
15,SR Watson,13.715960075331793,AllRounder
16,Yuvraj Singh,12.110548294824568,AllRounder
17,M Vijay,9.460651769447182,Batsman
18,SE Marsh,10.817083637422735,Batsman
19,JH Kallis,12.67844243921952,AllRounder
20,AT Rayudu,9.225798553863726,Batsman
21,DR Smith,9.876479646716753,Batsman
22,KA Pollard,12.351583091192307,AllRounder
23,SR Tendulkar,9.963245633108647,Batsman
24,PA Patel,8.843334077297921,Batsman
25,MK Pandey,9.194617975765293,Batsman
26,R Dravid,9.565226028694072,Batsman
27,AC Gilchrist,9.756978831725617,Batsman
28,JP Duminy,12.543284799324319,AllRounder
29,MEK Hussey,10.422694639735148,Batsman
30,DPMD Jayawardene,9.24086091549955,Batsman
31,RA Jadeja,9.207218788314378,Bowler
32,SPD Smith,9.803930149203968,Batsman
33,KC Sangakkara,9.426483439817876,Batsman
34,MK Tiwary,8.88991276770652,Batsman
35,AJ Finch,9.537461723534557,Batsman
36,DA Miller,9.563033070239845,Batsman
37,WP Saha,8.958448380228528,Batsman
38,NV Ojha,8.423695033886299,Batsman
39,S Badrinath,9.081872103799816,Batsman
40,SV Samson,9.203730367498885,Batsman
41,BJ Hodge,9.124432390925596,Batsman
42,SC Ganguly,9.09396053293112,Batsman
43,DJ Hussey,9.010440583076488,Batsman
44,F du Plessis,9.794369873228934,Batsman
45,SS Tiwary,8.76538091309131,Batsman
46,DJ Bravo,9.677904432533845,Bowler
47,GJ Maxwell,9.667117327117326,Batsman
48,KK Nair,9.329113263963642,Batsman
49,TM Dilshan,9.134322190385227,Batsman
50,IK Pathan,9.221549512886039,Bowler
51,Mandeep Singh,8.814384563226561,Batsman
52,ML Hayden,10.715834409349755,Batsman
53,LMP Simmons,10.873438413670916,Batsman
54,LRPL Taylor,8.704030929788505,Batsman
55,KP Pietersen,9.891946806084889,Batsman
56,Y Venugopal Rao,8.655270243565042,Batsman
57,JA Morkel,9.308962085606607,Bowler
58,A Symonds,12.644670551789796,AllRounder
59,CL White,9.091708297444733,Batsman
60,MC Henriques,11.806645201663159,AllRounder
61,M Vohra,9.352552845528455,Batsman
62,KM Jadhav,8.530799220272904,Batsman
63,HH Gibbs,9.188550378335325,Batsman
64,EJG Morgan,8.72168582375479,Batsman
65,MA Agarwal,8.527197067009206,Batsman
66,SS Iyer,9.495178647158609,Batsman
67,Harbhajan Singh,9.712091408185334,Bowler
68,MS Bisla,8.812921406951258,Batsman
69,ST Jayasuriya,9.747085514834206,Batsman
70,STR Binny,8.617862423614644,Bowler
71,GC Smith,9.373462304062633,Batsman
72,Q de Kock,9.921358460934433,Batsman
73,KL Rahul,9.341401401401402,Batsman
74,AD Mathews,8.702620632515345,Bowler
75,TL Suman,8.50529176798342,Batsman
76,AM Nayar,8.392539344041031,Bowler
77,GJ Bailey,8.699906065485775,Batsman
78,SA Yadav,8.365430625973424,Batsman
79,AR Patel,9.150552597047566,Bowler
80,JD Ryder,9.133547103415388,Batsman
81,HM Amla,10.932871477937267,Batsman
82,AD Russell,13.051779295804344,AllRounder
83,RR Pant,9.642271799358413,Batsman
84,RS Bopara,9.195143745143746,Batsman
85,JC Buttler,9.384740740740739,Batsman
86,JP Faulkner,9.08684081509888,Bowler
87,CJ Anderson,8.950161030595813,Batsman
88,PP Chawla,9.65714751784515,Bowler
89,M Manhas,8.427999999999999,Bowler
90,OA Shah,9.220389075944631,Batsman
91,PC Valthaty,9.101154052603327,Batsman
92,Shakib Al Hasan,9.076758608719913,Bowler
93,KH Pandya,13.023640658327444,AllRounder
94,CH Morris,12.304133821805983,AllRounder
95,N Rana,13.003857068335941,AllRounder
96,NLTC Perera,8.78969759129759,Bowler
97,SA Asnodkar,9.20168793195109,Batsman
98,DT Christian,8.852579349656692,Bowler
99,JR Hopes,9.305788356240921,Batsman
100,KS Williamson,9.744672364672365,Batsman
101,J Botha,8.838182254183806,Bowler
102,HH Pandya,8.38874347605083,Bowler
103,LR Shukla,8.521873594444344,Bowler
104,AL Menaria,8.404200397530571,Batsman
105,MV Boucher,8.599817701212286,Batsman
106,RA Tripathi,10.101313131313132,Batsman
107,CA Pujara,8.419191919191919,Batsman
108,Azhar Mahmood,11.94338386409578,AllRounder
109,CA Lynn,10.632193732193732,Batsman
110,DB Ravi Teja,8.274017094017093,Batsman
111,DJ Hooda,8.38143668753009,Bowler
112,S Sohal,8.679928545909252,Batsman
113,P Negi,8.865028017567774,Bowler
114,R Bhatia,9.16899952771006,Bowler
115,Gurkeerat Singh,8.457847888801469,Bowler
116,P Kumar,9.292551174647993,Bowler
117,A Mishra,9.778567567582927,Bowler
118,AP Tare,8.084318821745722,Batsman
119,JEC Franklin,8.704753236245955,Batsman
120,RN ten Doeschate,8.59987550575786,Batsman
121,Ishan Kishan,9.10723311546841,Batsman
122,KV Sharma,9.013867614652664,Bowler
123,BA Stokes,13.35649191353094,AllRounder
124,R Vinay Kumar,9.439262256182495,Bowler
125,DB Das,8.103960957893541,Batsman
126,LA Pomersbach,8.741749667994688,Batsman
127,UBT Chand,8.086666666666666,Batsman
128,DJG Sammy,8.505948175568482,Bowler
129,Y Nagar,8.167967741935485,Bowler
130,VVS Laxman,8.055231652316523,Batsman
131,GH Vihari,8.427546311288246,Bowler
132,A Ashish Reddy,8.63773165030388,Bowler
133,B Chipli,8.021296296296295,Batsman
134,MJ Lumb,9.633164983164983,Batsman
135,SP Narine,9.599380409633197,Bowler
136,R Sathish,8.189725806451612,Bowler
137,M Kaif,7.715774019262391,Batsman
138,SM Katich,9.194494685070602,Batsman
139,SP Goswami,8.095138888888888,Batsman
140,MD Mishra,8.114287029365737,Batsman
141,R Ashwin,9.531329497392482,Bowler
142,SW Billings,9.317366730892743,Batsman
143,MR Marsh,8.88394370458058,Bowler
144,K Goel,8.22489552238806,Bowler
145,AA Jhunjhunwala,8.221863147605085,Bowler
146,TM Head,9.077932303164092,Batsman
147,PD Collingwood,13.022656357224976,AllRounder
148,SK Warne,9.191784008416931,Bowler
149,SP Fleming,8.839376218323586,Batsman
150,AS Raut,8.176,Bowler
151,Salman Butt,9.7453303802141,Batsman
152,BJ Rohrer,9.519501522070016,Batsman
153,YV Takawale,8.661129326047359,Batsman
154,MJ Guptill,8.941126651126652,Batsman
155,Bipul Sharma,8.634855367183867,Bowler
156,FY Fazal,8.315653744145365,Batsman
157,AC Voges,9.574947274947274,Batsman
158,AB Agarkar,8.711126117417855,Bowler
159,SN Khan,9.164999509659705,Batsman
160,MF Maharoof,9.073032258064515,Bowler
161,DH Yagnik,7.827616680475007,Batsman
162,CM Gautam,7.95351076490317,Batsman
163,MN van Wyk,10.438271604938272,Batsman
164,DW Steyn,9.49872360926421,Bowler
165,PA Reddy,8.217777777777778,Batsman
166,MP Stoinis,8.902205882352941,Batsman
167,MN Samuels,8.60292986553879,Bowler
168,RE van der Merwe,8.924119106699752,Bowler
169,R McLaren,8.535569892473118,Bowler
170,B Kumar,9.693334715373098,Bowler
171,R Dhawan,8.715846066779854,Bowler
172,MG Johnson,9.239762704374725,Bowler
173,SM Pollock,11.647009179335063,AllRounder
174,S Vidyut,8.8381038647343,Batsman
175,N Saini,7.986666666666666,Batsman
176,Sachin Baby,8.624283870967743,Bowler
177,S Anirudha,7.8319559228650135,Batsman
178,SB Styris,8.653709439644924,Bowler
179,W Jaffer,8.23533591731266,Batsman
180,Kamran Akmal,9.669515669515668,Batsman
181,D Wiese,11.463034358437415,AllRounder
182,UT Khawaja,9.047883597883597,Batsman
183,P Dogra,7.591666666666667,Batsman
184,M Morkel,9.334495129962598,Bowler
185,C de Grandhomme,8.468745519713261,Bowler
186,MC Juneja,8.36984126984127,Batsman
187,BB Samantray,8.254837164750958,Batsman
188,B Lee,8.769160430305233,Bowler
189,BCJ Cutting,11.893160551917427,AllRounder
190,AB McDonald,8.752097460535346,Bowler
191,Niraj Patel,8.66851851851852,Batsman
192,DL Vettori,8.904203792649174,Bowler
193,AC Blizzard,8.85030525030525,Batsman
194,Misbah-ul-Haq,8.587161246612467,Batsman
195,RJ Harris,9.134688612162414,Bowler
196,Z Khan,9.500477014604346,Bowler
197,KK Cooper,9.052723870967743,Bowler
198,M Kartik,8.792825103830179,Bowler
199,MM Sharma,9.345247311827958,Bowler
200,DJ Harris,9.600782092772384,Batsman
201,LJ Wright,9.7589417989418,Batsman
202,JDP Oram,8.511082571579664,Bowler
203,RJ Quiney,8.068253968253968,Batsman
204,V Shankar,9.651695526695526,Batsman
205,MS Gony,8.837228222239835,Bowler
206,SD Chitnis,8.225168081494058,Bowler
207,MJ Clarke,8.530999022482893,Bowler
208,CJ Ferguson,7.769444444444444,Batsman
209,MA Starc,9.121243905999124,Bowler
210,CR Brathwaite,8.649404761904762,Batsman
211,UT Yadav,9.333271578101117,Bowler
212,PR Shah,7.555555555555555,Batsman
213,DJ Jacobs,7.885714285714286,Batsman
214,S Rana,8.365,Bowler
215,RT Ponting,7.544444444444444,Batsman
216,DS Kulkarni,9.291651743238841,Bowler
217,SL Malinga,10.116650046698757,Bowler
218,Iqbal Abdulla,8.973738218223698,Bowler
219,AP Majumdar,8.948160173160174,Batsman
220,Ankit Sharma,8.66119590873328,Bowler
221,RE Levi,8.13808808808809,Batsman
222,LA Carseldine,8.587741935483871,Bowler
223,WPUJC Vaas,8.988200992555832,Bowler
224,Shahid Afridi,8.716012554489973,Bowler
225,AD Mascarenhas,9.070292803970224,Bowler
226,PJ Cummins,8.790459868925014,Bowler
227,B Akhil,8.520662852440891,Bowler
228,IR Jaggi,7.6190476190476195,Batsman
229,TR Birt,8.466026365348398,Batsman
230,RR Sarwan,8.402777777777779,Batsman
231,M Klinger,8.469444444444445,Batsman
232,AA Bilakhia,7.533333333333333,Batsman
233,RR Powar,8.62056389718197,Bowler
234,R Sharma,9.012372606520614,Bowler
235,Mohammad Hafeez,8.47948387096774,Bowler
236,WD Parnell,8.943398570620513,Bowler
237,MJ McClenaghan,9.194113395966099,Bowler
238,Anirudh Singh,8.152777777777779,Batsman
239,A Flintoff,8.776218323586745,Batsman
240,S Aravind,9.07802054587919,Bowler
241,JJ Roy,9.263143631436314,Batsman
242,WA Mota,8.504407741935484,Bowler
243,M Rawat,7.533333333333333,Batsman
244,K Rabada,8.650042853779139,Bowler
245,TG Southee,8.727449582990587,Bowler
246,A Chopra,7.548148148148148,Batsman
247,RR Rossouw,7.64562091503268,Batsman
248,AJ Tye,12.982444100955792,AllRounder
249,Shoaib Malik,8.351483870967742,Bowler
250,NM Coulter-Nile,9.151119233733347,Bowler
251,RP Singh,9.417762297773079,Bowler
252,KB Arun Karthik,7.533333333333333,Batsman
253,R Rampaul,9.01087336582347,Bowler
254,RV Gomez,8.517467982115804,Bowler
255,AS Yadav,7.833333333333333,Batsman
256,SB Bangar,8.412745519713262,Bowler
257,AG Paunikar,7.604444444444445,Batsman
258,J Suchith,8.582028658578448,Bowler
259,HV Patel,8.883067390610028,Bowler
260,Yashpal Singh,7.730555555555555,Batsman
261,Mohammed Shami,8.569409564834304,Bowler
262,VR Aaron,8.90929089351984,Bowler
263,CR Woakes,8.874200617669636,Bowler
264,I Sharma,9.01223587130076,Bowler
265,Sunny Singh,8.067240143369176,Batsman
266,JDS Neesham,8.190899830220713,Bowler
267,SK Trivedi,9.1526207968177,Bowler
268,AB Barath,7.992592592592593,Batsman
269,A Nehra,9.58671866225744,Bowler
270,LPC Silva,8.567901234567902,Batsman
271,BR Dunk,8.133333333333333,Batsman
272,MM Patel,9.34273870693571,Bowler
273,AUK Pathan,8.2,Batsman
274,Umar Gul,12.385696381370884,AllRounder
275,DJ Thornely,8.797043988269794,Bowler
276,JO Holder,8.460633122395432,Bowler
277,SP Jackson,8.160334528076463,Batsman
278,S Narwal,8.398627081549149,Bowler
279,AN Ahmed,8.590239592397287,Bowler
280,KW Richardson,8.889935031522999,Bowler
281,L Balaji,9.269841971362974,Bowler
282,Sohail Tanvir,9.379303712720633,Bowler
283,Joginder Sharma,8.564814990512334,Bowler
284,A Kumble,9.150610610798317,Bowler
285,R Tewatia,8.766121255760368,Bowler
286,B Sumanth,7.533333333333333,Batsman
287,AP Dole,11.895496824573424,AllRounder
288,L Ronchi,7.551111111111111,Batsman
289,A Mithun,8.390655086848636,Bowler
290,S Sreesanth,8.95548907338191,Bowler
291,D Salunkhe,8.229153700189753,Bowler
292,Anureet Singh,8.684128329723084,Bowler
293,RJ Peterson,8.460225806451612,Bowler
294,T Taibu,7.823076923076924,Batsman
295,S Sriram,8.127777777777778,Batsman
296,C Munro,8.302,Bowler
297,VH Zol,8.181623931623932,Batsman
298,J Syed Mohammad,8.549416003351487,Bowler
299,SB Jakati,8.950948935139994,Bowler
300,Basil Thampi,8.607885510946081,Bowler
301,NL McCullum,8.344,Bowler
302,JM Kemp,8.573268359643102,Bowler
303,AB Dinda,9.16716271138269,Bowler
304,S Nadeem,8.907258901199139,Bowler
305,Sandeep Sharma,9.346249970134773,Bowler
306,JJ Bumrah,9.013352711303366,Bowler
307,S Chanderpaul,7.562962962962963,Batsman
308,A Choudhary,8.698709677419355,Bowler
309,MA Khote,8.340550537634408,Bowler
310,ER Dwivedi,8.533333333333333,Batsman
311,PJ Sangwan,8.860249009620826,Bowler
312,NS Naik,7.683333333333334,Batsman
313,J Arunkumar,7.592592592592593,Batsman
314,SW Tait,8.91768784411191,Bowler
315,BMAJ Mendis,8.468275268817205,Bowler
316,MS Wade,7.533333333333333,Batsman
317,GB Hogg,8.915455891563326,Bowler
318,CA Ingram,7.533333333333333,Batsman
319,DE Bollinger,9.165159761051374,Bowler
320,M Muralitharan,9.252706112356966,Bowler
321,AC Thomas,8.772546118180921,Bowler
322,Harpreet Singh,7.533333333333333,Batsman
323,Kuldeep Yadav,8.89030721966206,Bowler
324,NJ Maddinson,7.562962962962963,Batsman
325,RR Raje,8.469451612903226,Bowler
326,AD Nath,7.533333333333333,Batsman
327,R Shukla,8.415131655441332,Bowler
328,A Mukund,7.533333333333333,Batsman
329,Y Gnaneswara Rao,8.685185185185185,Batsman
330,Vishnu Vinod,7.533333333333333,Batsman
331,DR Martyn,8.433333333333334,Batsman
332,R Bishnoi,7.690196078431373,Batsman
333,P Sahu,8.479263189629183,Bowler
334,Harmeet Singh,8.86391813071665,Bowler
335,PV Tambe,8.840595432645591,Bowler
336,BJ Haddin,9.27070707070707,Batsman
337,Imran Tahir,9.195349169376811,Bowler
338,DS Lehmann,7.5777777777777775,Batsman
339,JJ van der Wath,8.466594227504245,Bowler
340,Parvez Rasool,8.420462287390029,Bowler
341,PP Ojha,9.394944625959404,Bowler
342,CK Kapugedera,7.533333333333333,Batsman
343,C Madan,8.211111111111112,Batsman
344,SA Abbott,8.03425,Bowler
345,VY Mahesh,8.871305534559946,Bowler
346,GR Napier,8.75174193548387,Bowler
347,YS Chahal,9.321500552108718,Bowler
348,KC Cariappa,8.561518422259592,Bowler
349,MDKJ Perera,7.680341880341881,Batsman
350,S Gopal,8.779411939191695,Bowler
351,DL Chahar,9.844444444444445,Batsman
352,F Behardien,7.635897435897436,Batsman
353,DT Patil,7.533333333333333,Batsman
354,KJ Abbott,8.366666666666667,Batsman
355,S Badree,8.753348869536776,Bowler
356,DAJ Bracewell,9.510105806451612,Bowler
357,AR Bawne,7.733333333333333,Batsman
358,AA Chavan,8.57006580061305,Bowler
359,K Upadhyay,8.203,Bowler
360,Swapnil Singh,8.276135378106822,Bowler
361,T Thushara,8.9532688172043,Bowler
362,Karanveer Singh,8.79395486899894,Bowler
363,T Henderson,8.56574193548387,Bowler
364,M Ntini,8.68919198344187,Bowler
365,DNT Zoysa,8.483715755025713,Bowler
366,Rashid Khan,8.983863774305945,Bowler
367,T Kohli,7.533333333333333,Batsman
368,AG Murtaza,8.698376304113204,Bowler
369,KAJ Roach,8.156615384615385,Bowler
370,X Thalaivan Sargunam,7.533333333333333,Batsman
371,TD Paine,7.533333333333333,Batsman
372,SMSM Senanayake,8.906323573200993,Bowler
373,D du Preez,9.10659564891223,Bowler
374,J Theron,8.79016554564173,Bowler
375,SM Harwood,8.798569090033702,Bowler
376,AA Noffke,8.513181935483871,Bowler
377,S Kaul,8.815076621711128,Bowler
378,Washington Sundar,8.790550868486353,Bowler
379,TS Mills,8.65784481255449,Bowler
380,CJ McKay,8.419741935483872,Bowler
381,CK Langeveldt,9.167647758692919,Bowler
382,Jaskaran Singh,8.531254701706315,Bowler
383,TM Srivastava,7.533333333333333,Batsman
384,I Malhotra,8.533333333333333,Batsman
385,Ankit Soni,8.428317204301075,Bowler
386,AN Ghosh,7.533333333333333,Batsman
387,UA Birla,7.533333333333333,Batsman
388,VS Malik,8.525934922046911,Bowler
389,Pankaj Singh,8.511071636454602,Bowler
390,SN Thakur,8.697485346388572,Bowler
391,AF Milne,8.472185133239831,Bowler
392,AS Rajpoot,8.597322835649624,Bowler
393,DM Bravo,7.8,Batsman
394,BA Bhatt,8.666249760459918,Bowler
395,SB Joshi,8.28832375366569,Bowler
396,SS Shaikh,7.533333333333333,Batsman
397,PSP Handscomb,7.533333333333333,Batsman
398,J Yadav,8.580410364886303,Bowler
399,KMDN Kulasekara,8.796055471811878,Bowler
400,SJ Srivastava,8.709092979127135,Bowler
401,JD Unadkat,9.179829531951484,Bowler
402,A Zampa,9.140565865102639,Bowler
403,P Awana,9.025546477528472,Bowler
404,Shivam Sharma,8.553494057724958,Bowler
405,TA Boult,8.766841305899916,Bowler
406,DP Nannes,8.938812730158165,Bowler
407,RS Sodhi,8.866666666666667,Batsman
408,FH Edwards,8.766443010752688,Bowler
409,VRV Singh,8.545758571718402,Bowler
410,CRD Fernando,9.124239409249903,Bowler
411,B Laughlin,8.33334193548387,Bowler
412,A Chandila,8.85613564929694,Bowler
413,GD McGrath,8.807079517599764,Bowler
414,BB Sran,8.681865357643758,Bowler
415,A Uniyal,8.458852292020374,Bowler
416,CJ Jordan,8.76498833218943,Bowler
417,JE Taylor,8.768549973558963,Bowler
418,D Kalyankrishna,8.32711053763441,Bowler
419,S Tyagi,8.453443820695433,Bowler
420,R Ninan,8.645225806451613,Bowler
421,Kamran Khan,8.74769430775773,Bowler
422,Mohammad Asif,8.616407845680014,Bowler
423,Younis Khan,7.533333333333333,Batsman
424,RD Chahar,8.701049088359046,Bowler
425,BAW Mendis,8.692064516129033,Bowler
426,SB Wagh,8.534709677419354,Bowler
427,RS Gavaskar,8.26,Bowler
428,Mohammad Nabi,8.763605083088954,Bowler
429,Mohammad Ashraful,7.533333333333333,Batsman
430,Mashrafe Mortaza,7.87,Bowler
431,A Singh,8.97306404862085,Bowler
432,Shoaib Akhtar,9.045724170172978,Bowler
433,S Randiv,8.654051612903226,Bowler
434,H Das,7.533333333333333,Batsman
435,VS Yeligati,7.9712499999999995,Bowler
436,KP Appanna,8.617951847629266,Bowler
437,RG More,8.28157977332171,Bowler
438,P Parameswaran,8.735300060864272,Bowler
439,Shoaib Ahmed,8.502870565075387,Bowler
440,PM Sarvesh Kumar,8.456903225806451,Bowler
441,M de Lange,8.627744160177976,Bowler
442,DJ Muthuswami,8.58163440860215,Bowler
443,SE Bond,8.857960141867927,Bowler
444,BE Hendricks,8.748727464850743,Bowler
445,LH Ferguson,8.69908787541713,Bowler
446,DP Vijaykumar,8.490934198958545,Bowler
447,NJ Rimmington,8.372,Bowler
448,Tejas Baroka,7.533333333333333,Batsman
449,Harmeet Singh (2),7.533333333333333,Batsman
450,YA Abdulla,8.887529523658555,Bowler
451,U Kaul,7.533333333333333,Batsman
452,V Pratap Singh,8.737276121558036,Bowler
453,Gagandeep Singh,7.533333333333333,Batsman
454,IC Pandey,8.716907077515646,Bowler
455,A Nel,7.533333333333333,Batsman
456,GS Sandhu,7.533333333333333,Batsman
457,C Ganapathy,7.533333333333333,Batsman
458,TP Sudhindra,7.533333333333333,Batsman
459,B Geeves,7.533333333333333,Batsman
460,S Kaushik,8.488851612903225,Bowler
461,RW Price,7.533333333333333,Batsman
462,Mohammed Siraj,8.91114985129261,Bowler
463,Mustafizur Rahman,8.872406796355577,Bowler
464,NB Singh,7.533333333333333,Batsman
465,AM Salvi,7.533333333333333,Batsman
466,ND Doshi,8.448957555178268,Bowler
467,Avesh Khan,7.533333333333333,Batsman
468,P Amarnath,7.533333333333333,Batsman
469,RR Bose,7.533333333333333,Batsman
470,RR Bhatkal,7.533333333333333,Batsman
471,P Prasanth,7.533333333333333,Batsman
472,P Suyal,7.533333333333333,Batsman
473,Abdur Razzak,7.888,Bowler
474,RA Shaikh,7.533333333333333,Batsman
475,S Ladda,8.38867658049264,Bowler
476,B Stanlake,7.533333333333333,Batsman
477,T Shamsi,7.533333333333333,Batsman
478,MJ Henry,7.533333333333333,Batsman
479,T Natarajan,7.533333333333333,Batsman
480,Sunny Gupta,7.685263157894737,Bowler
481,JW Hastings,7.533333333333333,Batsman
482,K Santokie,7.533333333333333,Batsman
483,AA Kazi,7.533333333333333,Batsman
484,SS Sarkar,7.533333333333333,Batsman
485,SS Mundhe,8.907741935483871,Bowler
486,SS Agarwal,7.533333333333333,Batsman
487,C Nanda,8.62951053763441,Bowler
488,BW Hilfenhaus,8.977692716391768,Bowler
489,SM Boland,7.533333333333333,Batsman
490,L Ablish,8.504025806451613,Bowler
491,M Ashwin,8.564602639296188,Bowler
492,MB Parmar,7.533333333333333,Batsman
493,MG Neser,7.533333333333333,Batsman
494,Anand Rajan,7.533333333333333,Batsman
